LHO.IDN,LHO.KUT,LHO.DHH,LHO.HME,LHO.W1,LHO.W2,LHO.W3,LHO.FCP,LHO.VER,LHO.OUM,LHO.CCK,LHO.FVL,LHO.OH245,LHO.OH145,LHO.OH230,LHO.OH130,LHO.OH115,LHO.OH215,LHO.OH200,LHO.OH100,LHO.DVL100,LHO.DVL115,LHO.DVL130,LHO.DVL145,LHO.DVL200,LHO.DVL215,LHO.DVL230,LHO.DVL245,LHO.DHT
001E,055F63,2018060316,1600,4.64,0.06,5.04,E,1,H,80,V,0,55,2,63,58,1,0,56,0,0,0,0,0,0,0,0,2018060322
001E,055F63,2018060317,1700,4.7,0.08,4.8,E,1,H,80,V,1,57,1,58,60,1,1,60,0,0,0,0,0,0,0,0,2018060323
001E,055F63,2018060318,1800,4.58,0.06,4.88,E,1,H,80,V,2,61,0,54,56,0,1,58,0,0,0,0,0,0,0,0,2018060400
001E,055F63,2018060319,1900,4.66,0.04,4.8,E,1,H,80,V,0,60,2,59,59,0,0,55,0,0,0,0,0,0,0,0,2018060401
001E,055F63,2018060320,2000,4.68,0.08,4.8,E,1,H,80,V,2,60,1,58,58,1,0,58,0,0,0,0,0,0,0,0,2018060402
001E,055F63,2018060321,2100,4.7,0.14,4.8,E,1,H,80,V,1,59,1,58,58,1,4,60,0,0,0,0,0,0,0,0,2018060403
001E,055F63,2018060322,2200,5.82,1.34,6,E,1,H,80,V,15,71,15,71,74,18,19,75,0,0,0,0,0,0,0,0,2018060404
001E,055F63,2018060423,2300,6.32,1.34,7.2,E,1,H,80,V,16,73,17,75,90,17,17,78,0,0,0,0,0,0,0,0,2018060505
001E,055F63,2018060424,2400,6.42,1.66,7.52,E,1,H,80,V,28,94,18,76,75,18,19,76,0,0,0,0,0,0,0,0,2018060506
001E,055F63,2018060501,0100,5.96,1.34,6.08,E,1,H,80,V,17,75,16,74,76,18,16,73,0,0,0,0,0,0,0,0,2018060507
001E,055F63,2018060502,0200,6,1.38,6.08,E,1,H,80,V,16,73,18,76,76,19,16,75,0,0,0,0,0,0,0,0,2018060508
001E,055F63,2018060503,0300,6.36,1.58,7.44,E,1,H,80,V,16,74,28,93,76,17,18,75,0,0,0,0,0,0,0,0,2018060509
001E,055F63,2018060504,0400,5.9,1.26,6,E,1,H,80,V,17,75,15,73,74,16,15,73,0,0,0,0,0,0,0,0,2018060510
001E,055F63,2018060505,0500,5.86,1.18,6.08,E,1,H,80,V,17,76,16,74,70,12,14,73,0,0,0,0,0,0,0,0,2018060511
001E,055F63,2018060506,0600,6.34,0.86,7.52,E,1,H,80,V,0,57,25,89,77,18,0,94,0,0,0,0,0,0,0,0,2018060512
001E,055F63,2018060507,0700,63.94,11.1,71.92,E,1,H,80,V,157,828,101,637,899,136,161,833,0,0,0,0,0,0,0,0,2018060513
001E,055F63,2018060508,0800,64.34,11.54,68.4,E,1,H,80,V,154,841,138,781,740,130,155,855,0,0,0,0,0,0,0,0,2018060514
001E,055F63,2018060509,0900,73.96,14.46,81.84,E,1,H,80,V,173,883,179,939,853,139,232,1023,0,0,0,0,0,0,0,0,2018060515
001E,055F63,2018060510,1000,75.42,15.4,78.64,E,1,H,80,V,199,983,181,880,976,212,178,932,0,0,0,0,0,0,0,0,2018060516
001E,055F63,2018060511,1100,76.04,18.68,86,E,1,H,80,V,196,836,215,952,1075,270,253,939,0,0,0,0,0,0,0,0,2018060517
001E,055F63,2018060512,1200,83.06,19.24,87.76,E,1,H,80,V,227,1037,248,1063,956,228,259,1097,0,0,0,0,0,0,0,0,2018060518
001E,055F63,2018060513,1300,79.5,18.58,84.24,E,1,H,80,V,208,952,244,968,1053,248,229,1002,0,0,0,0,0,0,0,0,2018060519
001E,055F63,2018060514,1400,75.18,16.72,83.2,E,1,H,80,V,203,909,221,937,873,172,240,1040,0,0,0,0,0,0,0,0,2018060520
001E,055F63,2018060323,2300,5.84,1.4,5.92,E,1,H,80,V,18,74,17,72,74,18,17,72,0,0,0,0,0,0,0,0,2018060405
001E,055F63,2018060324,2400,5.9,1.42,6.16,E,1,H,80,V,20,77,19,74,71,15,17,73,0,0,0,0,0,0,0,0,2018060406
001E,055F63,2018060401,0100,5.74,1.32,5.84,E,1,H,80,V,14,68,17,73,73,19,16,73,0,0,0,0,0,0,0,0,2018060407
001E,055F63,2018060402,0200,6.24,1.4,7.28,E,1,H,80,V,16,73,18,91,75,19,17,73,0,0,0,0,0,0,0,0,2018060408
001E,055F63,2018060403,0300,5.86,1.34,5.92,E,1,H,80,V,18,74,17,73,72,14,18,74,0,0,0,0,0,0,0,0,2018060409
001E,055F63,2018060404,0400,5.74,1.32,5.84,E,1,H,80,V,17,73,17,72,71,16,16,71,0,0,0,0,0,0,0,0,2018060410
001E,055F63,2018060405,0500,5.74,1.28,5.92,E,1,H,80,V,15,71,18,73,74,18,13,69,0,0,0,0,0,0,0,0,2018060411
001E,055F63,2018060406,0600,7.78,0.62,15.04,E,1,H,80,V,0,57,14,70,74,17,0,188,0,0,0,0,0,0,0,0,2018060412
001E,055F63,2018060407,0700,51.54,6.48,54.32,E,1,H,80,V,80,649,75,679,669,95,74,580,0,0,0,0,0,0,0,0,2018060413
