LHO.DHH,LHO.HME,LHO.W1,LHO.W2,LHO.W3,LHO.FCP,LHO.VER,LHO.OUM,LHO.CCK,LHO.FVL,LHO.OH245,LHO.OH145,LHO.OH230,LHO.OH130,LHO.OH115,LHO.OH215,LHO.OH200,LHO.OH100,LHO.DVL100,LHO.DVL115,LHO.DVL130,LHO.DVL145,LHO.DVL200,LHO.DVL215,LHO.DVL230,LHO.DVL245,LHO.DHT
2016042621,2100,10.26,2.88,12.32,E,1,H,80,V,16,82,53,154,133,34,41,144,0,0,0,0,0,0,0,0,2016042703
2016042622,2200,3.58,1.06,6.64,E,1,H,80,V,6,14,26,70,83,18,3,12,0,0,0,0,0,0,0,0,2016042704
2016042623,2300,1.08,0.36,1.12,E,1,H,80,V,3,12,4,14,14,6,5,14,0,0,0,0,0,0,0,0,2016042705
2016042624,2400,1.02,0.36,1.2,E,1,H,80,V,6,15,6,14,11,3,3,11,0,0,0,0,0,0,0,0,2016042706
2016042701,0100,3.92,1.48,4.64,E,1,H,80,V,19,55,24,58,53,18,13,30,0,0,0,0,0,0,0,0,2016042707
2016042702,0200,4.16,1.44,11.2,E,1,H,80,V,5,15,13,26,27,14,40,140,0,0,0,0,0,0,0,0,2016042708
2016042703,0300,8.14,2.04,11.04,E,1,H,80,V,45,138,20,86,90,18,19,93,0,0,0,0,0,0,0,0,2016042709
2016042704,0400,10.98,2.28,13.36,E,1,H,80,V,26,123,22,113,167,38,28,146,0,0,0,0,0,0,0,0,2016042710
2016042705,0500,10.26,2.2,13.2,E,1,H,80,V,21,113,43,165,112,22,24,123,0,0,0,0,0,0,0,0,2016042711
2016042706,0600,14.02,3.22,14.96,E,1,H,80,V,27,150,45,178,187,50,39,186,0,0,0,0,0,0,0,0,2016042712
2016042707,0700,12.7,3.1,15.2,E,1,H,80,V,47,171,46,190,136,26,36,138,0,0,0,0,0,0,0,0,2016042713
2016042817,1700,0.82,1.58,1.6,E,1,H,80,V,13,4,25,2,15,15,26,20,0,0,0,0,0,0,0,0,2016042823
2016042818,1800,3.02,3.26,4.72,E,1,H,80,V,51,59,32,22,31,29,51,39,0,0,0,0,0,0,0,0,2016042900
2016042819,1900,5.34,4,6.08,E,1,H,80,V,51,68,53,76,52,43,53,71,0,0,0,0,0,0,0,0,2016042901
2016042820,2000,13.42,5.24,15.28,E,1,H,80,V,70,191,68,175,144,60,64,161,0,0,0,0,0,0,0,0,2016042902
2016042821,2100,10.08,2.42,13.2,E,1,H,80,V,34,138,43,165,115,26,18,86,0,0,0,0,0,0,0,0,2016042903
2016042822,2200,4.42,1.28,11.92,E,1,H,80,V,4,14,10,45,149,46,4,13,0,0,0,0,0,0,0,0,2016042904
2016042823,2300,1.04,0.36,1.2,E,1,H,80,V,3,11,6,15,12,3,6,14,0,0,0,0,0,0,0,0,2016042905
2016042708,0800,9.72,3.76,13.36,E,1,H,80,V,44,131,39,104,167,64,41,84,0,0,0,0,0,0,0,0,2016042714
2016042709,0900,4.28,3.12,7.76,E,1,H,80,V,9,18,38,53,97,62,47,46,0,0,0,0,0,0,0,0,2016042715
2016042710,1000,1.74,2.5,2.32,E,1,H,80,V,23,21,25,15,29,38,39,22,0,0,0,0,0,0,0,0,2016042716
2016042711,1100,0.1,1.34,0.32,E,1,H,80,V,0,0,0,0,4,31,36,1,0,0,0,0,0,0,0,0,2016042717
2016042712,1200,0.48,0.5,1.2,E,1,H,80,V,14,15,1,1,0,2,8,8,0,0,0,0,0,0,0,0,2016042718
2016042713,1300,2.16,1.58,5.36,E,1,H,80,V,4,6,48,67,4,4,23,31,0,0,0,0,0,0,0,0,2016042719
2016042808,0800,11.56,3.62,14.24,E,1,H,80,V,69,178,26,106,163,46,40,131,0,0,0,0,0,0,0,0,2016042814
2016042809,0900,11.52,4.52,13.44,E,1,H,80,V,50,106,63,168,152,53,60,150,0,0,0,0,0,0,0,0,2016042815
2016042810,1000,5.04,3.1,10.72,E,1,H,80,V,47,68,23,30,134,69,16,20,0,0,0,0,0,0,0,0,2016042816
